userId,accountType,accountNumber
6366e093fc13ae5ab50000d2,Corriente,550467092
6366e093fc13ae5ab50000d3,Corriente,630366395
6366e093fc13ae5ab50000d4,Ahorros,561118699
6366e093fc13ae5ab50000d5,Ahorros,348528038
6366e093fc13ae5ab50000d6,Corriente,366478854
6366e093fc13ae5ab50000d7,Corriente,974942816
6366e093fc13ae5ab50000d8,Ahorros,123376367
6366e093fc13ae5ab50000d9,Corriente,510074575
6366e093fc13ae5ab50000da,Ahorros,492255307
6366e093fc13ae5ab50000db,Ahorros,963498175
6366e093fc13ae5ab50000dc,Corriente,391385442
6366e093fc13ae5ab50000dd,Corriente,78043300
6366e093fc13ae5ab50000de,Corriente,95710099
6366e093fc13ae5ab50000df,Corriente,29453215
6366e093fc13ae5ab50000e0,Ahorros,118157519
6366e093fc13ae5ab50000e1,Ahorros,980342031
6366e093fc13ae5ab50000e2,Ahorros,496561100
6366e093fc13ae5ab50000e3,Ahorros,472570424
6366e093fc13ae5ab50000e4,Ahorros,474555405
6366e093fc13ae5ab50000e5,Ahorros,826152885
6366e093fc13ae5ab50000e6,Ahorros,566390962
6366e093fc13ae5ab50000e7,Ahorros,799129219
6366e093fc13ae5ab50000e8,Corriente,589032634
6366e093fc13ae5ab50000e9,Corriente,557310272
6366e093fc13ae5ab50000ea,Ahorros,234972934
6366e093fc13ae5ab50000eb,Ahorros,462490592
6366e093fc13ae5ab50000ec,Ahorros,547475075
6366e093fc13ae5ab50000ed,Corriente,324339549
6366e093fc13ae5ab50000ee,Corriente,586585462
6366e093fc13ae5ab50000ef,Corriente,181512798
6366e093fc13ae5ab50000f0,Corriente,420393195
6366e093fc13ae5ab50000f1,Corriente,87403798
6366e093fc13ae5ab50000f2,Ahorros,36777504
6366e093fc13ae5ab50000f3,Corriente,145260255
6366e093fc13ae5ab50000f4,Corriente,723738841
6366e093fc13ae5ab50000f5,Ahorros,741079622
6366e093fc13ae5ab50000f6,Corriente,229384720
6366e093fc13ae5ab50000f7,Ahorros,291920307
6366e093fc13ae5ab50000f8,Corriente,473779396
6366e093fc13ae5ab50000f9,Corriente,99715727
6366e093fc13ae5ab50000fa,Ahorros,286925120
6366e093fc13ae5ab50000fb,Corriente,239458923
6366e093fc13ae5ab50000fc,Corriente,591674285
6366e093fc13ae5ab50000fd,Ahorros,122375301
6366e093fc13ae5ab50000fe,Ahorros,918229109
6366e093fc13ae5ab50000ff,Corriente,817603593
6366e093fc13ae5ab5000100,Ahorros,680505536
6366e093fc13ae5ab5000101,Corriente,22532776
6366e093fc13ae5ab5000102,Corriente,751368969
6366e093fc13ae5ab5000103,Corriente,36532592
6366e093fc13ae5ab5000104,Ahorros,714392950
6366e093fc13ae5ab5000105,Ahorros,789228270
6366e093fc13ae5ab5000106,Corriente,81142702
6366e093fc13ae5ab5000107,Corriente,705404286
6366e093fc13ae5ab5000108,Ahorros,455577571
6366e093fc13ae5ab5000109,Ahorros,567281495
6366e093fc13ae5ab500010a,Ahorros,158046708
6366e093fc13ae5ab500010b,Ahorros,747248185
6366e093fc13ae5ab500010c,Ahorros,891963117
6366e093fc13ae5ab500010d,Corriente,618073658
6366e093fc13ae5ab500010e,Ahorros,213857908
6366e093fc13ae5ab500010f,Corriente,581029609
6366e093fc13ae5ab5000110,Corriente,352769142
6366e093fc13ae5ab5000111,Corriente,564986397
6366e093fc13ae5ab5000112,Ahorros,738772411
6366e093fc13ae5ab5000113,Corriente,858746457
6366e093fc13ae5ab5000114,Ahorros,184392164
6366e093fc13ae5ab5000115,Ahorros,545107270
6366e093fc13ae5ab5000116,Ahorros,251562342
6366e093fc13ae5ab5000117,Ahorros,971201407
6366e093fc13ae5ab5000118,Corriente,984193674
6366e093fc13ae5ab5000119,Corriente,640397008
6366e093fc13ae5ab500011a,Ahorros,331738929
6366e093fc13ae5ab500011b,Corriente,350841691
6366e093fc13ae5ab500011c,Ahorros,801548583
6366e093fc13ae5ab500011d,Ahorros,987128314
6366e093fc13ae5ab500011e,Ahorros,690352090
6366e093fc13ae5ab500011f,Corriente,920189809
6366e093fc13ae5ab5000120,Ahorros,267497398
6366e093fc13ae5ab5000121,Ahorros,753327132
6366e093fc13ae5ab5000122,Corriente,721382469
6366e093fc13ae5ab5000123,Corriente,341413205
6366e093fc13ae5ab5000124,Ahorros,23917148
6366e093fc13ae5ab5000125,Corriente,450913721
6366e093fc13ae5ab5000126,Ahorros,781474492
6366e093fc13ae5ab5000127,Ahorros,748212084
6366e093fc13ae5ab5000128,Ahorros,532227754
6366e093fc13ae5ab5000129,Ahorros,321315368
6366e093fc13ae5ab500012a,Ahorros,801544083
6366e093fc13ae5ab500012b,Ahorros,505161874
6366e093fc13ae5ab500012c,Corriente,798022941
6366e093fc13ae5ab500012d,Corriente,793598810
6366e093fc13ae5ab500012e,Corriente,299260947
6366e093fc13ae5ab500012f,Ahorros,618228063
6366e093fc13ae5ab5000130,Corriente,952898615
6366e093fc13ae5ab5000131,Ahorros,707918267
6366e093fc13ae5ab5000132,Ahorros,604918833
6366e093fc13ae5ab5000133,Corriente,264284104
6366e093fc13ae5ab5000134,Corriente,635418709
6366e093fc13ae5ab5000135,Ahorros,208610298
6366e093fc13ae5ab5000136,Corriente,139621738
6366e093fc13ae5ab5000137,Corriente,200530491
6366e093fc13ae5ab5000138,Corriente,392127666
6366e093fc13ae5ab5000139,Corriente,301774373
6366e093fc13ae5ab500013a,Ahorros,712672701
6366e093fc13ae5ab500013b,Ahorros,194289029
6366e093fc13ae5ab500013c,Ahorros,948762147
6366e093fc13ae5ab500013d,Corriente,477852150
6366e093fc13ae5ab500013e,Ahorros,379691732
6366e093fc13ae5ab500013f,Corriente,616957710
6366e093fc13ae5ab5000140,Corriente,603854095
6366e093fc13ae5ab5000141,Corriente,279583812
6366e093fc13ae5ab5000142,Corriente,575128907
6366e093fc13ae5ab5000143,Ahorros,978141639
6366e093fc13ae5ab5000144,Corriente,829551556
6366e093fc13ae5ab5000145,Corriente,114436285
6366e093fc13ae5ab5000146,Ahorros,953489116
6366e093fc13ae5ab5000147,Ahorros,966893898
6366e093fc13ae5ab5000148,Corriente,637656454
6366e093fc13ae5ab5000149,Ahorros,888387941
6366e093fc13ae5ab500014a,Ahorros,411364772
6366e093fc13ae5ab500014b,Ahorros,151479100
6366e093fc13ae5ab500014c,Corriente,71393571
6366e093fc13ae5ab500014d,Corriente,947793092
6366e093fc13ae5ab500014e,Corriente,863271059
6366e093fc13ae5ab500014f,Corriente,478532184
6366e093fc13ae5ab5000150,Ahorros,311179119
6366e093fc13ae5ab5000151,Corriente,889597090
6366e093fc13ae5ab5000152,Ahorros,584836652
6366e093fc13ae5ab5000153,Ahorros,763674241
6366e093fc13ae5ab5000154,Corriente,811207239
6366e093fc13ae5ab5000155,Corriente,87947044
6366e093fc13ae5ab5000156,Ahorros,273123915
6366e093fc13ae5ab5000157,Corriente,11512427
6366e093fc13ae5ab5000158,Ahorros,230976801
6366e093fc13ae5ab5000159,Ahorros,735775728
6366e093fc13ae5ab500015a,Ahorros,845946885
6366e093fc13ae5ab500015b,Corriente,910972514
6366e093fc13ae5ab500015c,Corriente,484210256
6366e093fc13ae5ab500015d,Ahorros,765036893
6366e093fc13ae5ab500015e,Ahorros,462266026
6366e093fc13ae5ab500015f,Ahorros,359435010
6366e093fc13ae5ab5000160,Corriente,188753439
6366e093fc13ae5ab5000161,Corriente,871878004
6366e093fc13ae5ab5000162,Corriente,645943235
6366e093fc13ae5ab5000163,Corriente,543103470
6366e093fc13ae5ab5000164,Ahorros,720532219
6366e093fc13ae5ab5000165,Ahorros,199553347
6366e093fc13ae5ab5000166,Ahorros,364170203
6366e093fc13ae5ab5000167,Corriente,677723985
6366e093fc13ae5ab5000168,Corriente,361360511
6366e093fc13ae5ab5000169,Corriente,55834434
6366e093fc13ae5ab500016a,Corriente,726069848
6366e093fc13ae5ab500016b,Corriente,446198323
6366e093fc13ae5ab500016c,Ahorros,420298211
6366e093fc13ae5ab500016d,Corriente,389274944
6366e093fc13ae5ab500016e,Corriente,124869924
6366e093fc13ae5ab500016f,Corriente,8811584
6366e093fc13ae5ab5000170,Corriente,981235134
6366e093fc13ae5ab5000171,Ahorros,185219429
6366e093fc13ae5ab5000172,Corriente,554364205
6366e093fc13ae5ab5000173,Corriente,289531939
6366e093fc13ae5ab5000174,Ahorros,870475275
6366e093fc13ae5ab5000175,Ahorros,53624258
6366e093fc13ae5ab5000176,Ahorros,141678378
6366e093fc13ae5ab5000177,Corriente,644367793
6366e093fc13ae5ab5000178,Corriente,856625618
6366e093fc13ae5ab5000179,Corriente,942605629
6366e093fc13ae5ab500017a,Ahorros,677630541
6366e093fc13ae5ab500017b,Corriente,233184673
6366e093fc13ae5ab500017c,Ahorros,890055748
6366e093fc13ae5ab500017d,Ahorros,850508162
6366e093fc13ae5ab500017e,Corriente,13075906
6366e093fc13ae5ab500017f,Corriente,892499923
6366e093fc13ae5ab5000180,Ahorros,172177903
6366e093fc13ae5ab5000181,Ahorros,797316894
6366e093fc13ae5ab5000182,Ahorros,949285366
6366e093fc13ae5ab5000183,Ahorros,902570873
6366e093fc13ae5ab5000184,Corriente,985737992
6366e093fc13ae5ab5000185,Ahorros,14188457
6366e093fc13ae5ab5000186,Ahorros,31708064
6366e093fc13ae5ab5000187,Ahorros,317337322
6366e093fc13ae5ab5000188,Ahorros,405301626
6366e093fc13ae5ab5000189,Corriente,611017941
6366e093fc13ae5ab500018a,Ahorros,54178091
6366e093fc13ae5ab500018b,Ahorros,757034642
6366e093fc13ae5ab500018c,Corriente,253650353
6366e093fc13ae5ab500018d,Ahorros,652357151
6366e093fc13ae5ab500018e,Ahorros,399712803
6366e093fc13ae5ab500018f,Ahorros,137399153
6366e093fc13ae5ab5000190,Corriente,730014303
6366e093fc13ae5ab5000191,Corriente,743285668
6366e093fc13ae5ab5000192,Corriente,414521151
6366e093fc13ae5ab5000193,Ahorros,868607235
6366e093fc13ae5ab5000194,Corriente,693640745
6366e093fc13ae5ab5000195,Ahorros,403925213
6366e093fc13ae5ab5000196,Ahorros,409992646
6366e093fc13ae5ab5000197,Corriente,379770232
6366e093fc13ae5ab5000198,Ahorros,417319226
6366e093fc13ae5ab5000199,Ahorros,363834929
6366e093fc13ae5ab500019a,Ahorros,884376566
6366e093fc13ae5ab500019b,Ahorros,503539954
6366e093fc13ae5ab500019c,Corriente,500730682
6366e093fc13ae5ab500019d,Ahorros,429944136
6366e093fc13ae5ab500019e,Corriente,653813362
6366e093fc13ae5ab500019f,Corriente,83754462
6366e093fc13ae5ab50001a0,Ahorros,775752435
6366e093fc13ae5ab50001a1,Corriente,811233997
6366e093fc13ae5ab50001a2,Ahorros,736991983
6366e093fc13ae5ab50001a3,Corriente,92711238
6366e093fc13ae5ab50001a4,Ahorros,645152295
6366e093fc13ae5ab50001a5,Ahorros,284905411
6366e093fc13ae5ab50001a6,Corriente,447511301
6366e093fc13ae5ab50001a7,Ahorros,400954607
6366e093fc13ae5ab50001a8,Corriente,422978373
6366e093fc13ae5ab50001a9,Ahorros,604772831
6366e093fc13ae5ab50001aa,Ahorros,335507376
6366e093fc13ae5ab50001ab,Corriente,338356106
6366e093fc13ae5ab50001ac,Ahorros,487936011
6366e093fc13ae5ab50001ad,Corriente,503790967
6366e093fc13ae5ab50001ae,Ahorros,303503560
6366e093fc13ae5ab50001af,Ahorros,757127775
6366e093fc13ae5ab50001b0,Corriente,244107969
6366e093fc13ae5ab50001b1,Ahorros,432944501
6366e093fc13ae5ab50001b2,Ahorros,899531479
6366e093fc13ae5ab50001b3,Corriente,860900715
6366e093fc13ae5ab50001b4,Ahorros,246062388
6366e093fc13ae5ab50001b5,Corriente,574459601
6366e093fc13ae5ab50001b6,Ahorros,515068780
6366e093fc13ae5ab50001b7,Ahorros,283270817
6366e093fc13ae5ab50001b8,Ahorros,101637119
6366e093fc13ae5ab50001b9,Ahorros,486950020
6366e093fc13ae5ab50001ba,Corriente,621990789
6366e093fc13ae5ab50001bb,Corriente,599302114
6366e093fc13ae5ab50001bc,Ahorros,823896577
6366e093fc13ae5ab50001bd,Corriente,932099238
6366e093fc13ae5ab50001be,Corriente,982374748
6366e093fc13ae5ab50001bf,Corriente,400369626
6366e093fc13ae5ab50001c0,Ahorros,831966867
6366e093fc13ae5ab50001c1,Corriente,936634012
6366e093fc13ae5ab50001c2,Ahorros,456348749
6366e093fc13ae5ab50001c3,Ahorros,600230743
6366e093fc13ae5ab50001c4,Corriente,456242424
6366e093fc13ae5ab50001c5,Ahorros,325629635
6366e093fc13ae5ab50001c6,Ahorros,657788111
6366e093fc13ae5ab50001c7,Ahorros,557843424
6366e093fc13ae5ab50001c8,Corriente,961603252
6366e093fc13ae5ab50001c9,Ahorros,220498422
6366e093fc13ae5ab50001ca,Corriente,183459905
